Names	total	elements
		LRRC34
		CDH26
		MIDN
		ZNF167
		NOX4
		RNASEN
		LHX8
		TPM1
		KCNG2
		DHTKD1
		C10orf35
		SALL2
		BEAN
		CD300LG
		GALM
		SFRS2IP
		FLNB
		WDFY4
		NCRNA00111
		NRG2
		IQCG
		ITPRIPL1
		SPTBN5
		PLEKHA1
		PAPPA2
		LAT2
		SNUPN
		C1orf210
		PKNOX1
		C20orf29
		SYCE1
		CLCN7
		SLC12A9
		OTP
		FAM166B
		POTEA
		JPH4
		NAPEPLD
		RNF115
		USP2
		GALNT7
		CABLES2
		MAN2A1
		OBSCN
		TNFAIP8L1
		TRIM61
		SLC9A11
		PNRC1
		RRBP1
		FOXN4
		MAT2B
		MTMR10
		NDOR1
		KIR3DL1
		TJP1
		ZNF599
		LOC100192378
		RALGDS
		GPR44
		ICOSLG
		RGR
		RBM12B
		FAM118A
		C17orf48
		C1orf69
		KY
		DQX1
		RPH3AL
		CSMD1
		MRPL17
		TRERF1
		SLC24A2
		CXXC5
		ZNF653
		GLI3
		VAV2
		SLC17A7
		CDKL2
		COL25A1
		EPC1
		RBPMS2
		LRRC10B
		TES
		C1orf185
		SNX20
		BCOR
		FERD3L
		LOC727924
		RAB36
		AVPR2
		GRIA3
		MIR197
		BHLHB9
		ILF3
		GRB14
		RP2
		ARAP3
		LOC90586
		OR5E1P
		SLC35F3
		DCDC2
		JOSD1
		SEMA4B
		MGC23270
		CSNK1A1
		LONP2
		CUX2
		SNORD114-12
		ADRM1
		ZBP1
		TXLNA
		SCGB2A1
		AIP
		ZG16B
		UBAP1
		CPPED1
		AZU1
		CTNNA3
		AP3B2
		VPS13D
		LAMA5
		SPATS2
		TMEM184B
		SKIV2L
		C19orf62
		TBX15
		RAPGEF4
		BMPER
		HEG1
		FAM19A3
		KRT81
		SLC7A8
		ALDH3B2
		AGAP2
		CCND3
		EFHC2
		MAZ
		CLTC
		CLASP2
		DOT1L
		PDE1A
		HES3
		RPRD2
		SMYD2
		AMAC1L3
		DCTN6
		C22orf31
		PRAMEF11
		MIR548F5
		ONECUT3
		BATF
		LMTK2
		CASKIN1
		VIPR2
		FAM131A
		SEMA6A
		PSMD14
		FOXK1
		MRPL44
		LIMK2
		MAST1
		EPHA1
		HMGA2
		PRLHR
		B3GALTL
		MIR1185-2
		EIF4G1
		HHAT
		C19orf20
		MYST1
		INTS3
		TRPM4
		LTB4R
		TNFSF12-TNFSF13
		HSP90AA1
		CREB5
		ANGPT2
		EIF2C1
		SEL1L
		DUOX1
		C7orf13
		ATP6V0A4
		PARP1
		SIAH1
		FAM60A
		LHX1
		ZNF618
		GOLGA7
		DNAJC6
		TPD52
		JAG2
		KIFC3
		CD34
		SLC37A4
		PTPRK
		FAM92B
		SLC25A25
		CCDC19
		WDR81
		ACYP1
		PRKCSH
		TK1
		ENG
		ZBTB42
		KLF1
		HLA-F
		KCNK2
		BRD9
		UHRF1BP1L
		TBC1D4
		PCDHGA2
		OR2M5
		ST3GAL2
		DNM3
		SYT1
		SNORD114-14
		SMYD4
		DPF3
		ODF2
		FAM103A1
		C10orf41
		CCDC36
		SLC11A2
		NBEAL2
		FAM195B
		EPB41
		DENND5A
		CBLN1
		NUP98
		NIP7
		TCP11
		RARA
		BDH1
		RNF220
		SHCBP1
		TRABD
		PTPRS
		COTL1
		CLDN15
		DOCK9
		DLG2
		CBFB
		PPP1R12B
		RPL36
		FAM101A
		AGBL3
		SERPINH1
		RBCK1
		LOC285954
		SH2D3A
		ZYG11B
		LOC339674
		NCKAP5
		LEFTY2
		MN1
		SCFD2
		RORA
		MYH15
		IL2RA
		REXO1L2P
		SHISA6
		NSF
		TBC1D13
		EBF4
		SCARA5
		NFASC
		C7orf47
		ARHGAP9
		C14orf102
		MLLT1
		A2BP1
		TPM4
		LOC100271832
		TG
		CABP4
		TMEM95
		LOC650368
		DGKG
		AFAP1L2
		C14orf49
		GRASP
		ZFP91
		INHBA
		METTL9
		C2orf29
		SEPP1
		RAI1
		LAMB1
		CPEB2
		LOXL2
		ADM2
		DNMT1
		HTR1B
		KCNS1
		C10orf91
		KLF8
		ASCL4
		CFI
		NLRC5
		SUV39H1
		SLC7A5
		TRIM7
		T
		MIR412
		FGF7
		TAT
		PACSIN1
		KLK13
		FMNL3
		TRIM13
		CYGB
		MB
		RFPL4B
		CBL
		C6orf115
		ZC3H12D
		CACNG8
		DMBT1
		MGA
		KCNAB2
		GPR4
		CLCN5
		ZDHHC9
		C9orf86
		TTC28
		MAGI2
		EXPH5
		NELL1
		MAG
		GALK2
		ANKRD30B
		STRA8
		RAB3B
		CLINT1
		TBPL1
		VNN1
		PLCL1
		RPL23AP53
		GRIN2D
		LOC401127
		FAM46A
		PLD4
		C11orf87
		CCDC101
		KIAA1671
		PXDNL
		ANKFY1
		ZNF69
		CREG1
		CHRNA4
		HCG4
		NSUN5B
		LENEP
		SSH1
		RALA
		H6PD
		LOC100134368
		CAD
		DOCK10
		INTS9
		AMH
		CTXN2
		MTMR7
		GNPTAB
		IRF5
		NEU4
		PFDN6
		TRPM1
		CACNG3
		LOC100144604
		LPAR5
		TROVE2
		DDN
		MIR1180
		SPIRE1
		MICB
		ELOVL6
		ST8SIA3
		C10orf116
		IAH1
		KHDRBS3
		PMS2L5
		UBE2E1
		VPS18
		PRTN3
		AVPR1A
		PPIF
		RIPK1
		COL14A1
		C8orf38
		SOX8
		PRR23A
		LRRC4B
		TNFAIP8
		GNB2L1
		KIAA0195
		PARP10
		MICALCL
		ALOX12P2
		SCGB2A2
		ABAT
		RBM47
		ZNF674
		PCDHGB5
		RAPGEF3
		LGALS9
		SCARB2
		MAPK3
		SLC20A2
		JARID2
		KIAA1549
		PNMAL1
		SLC16A3
		APLP2
		MICAL3
		FBXO41
		CELSR1
		PRR5L
		SLC9A1
		HDAC2
		CHRND
		THBS2
		IGLON5
		SRPRB
		FOXF1
		RANBP17
		LTF
		HIST1H4F
		FGD1
		ETS1
		EDC4
		TNN
		PCDH8
		KCNK15
		C10orf58
		SMOC1
		TNIP2
		TMEM131
		RPL23AP32
		MFSD4
		DKFZp434L192
		MIR155HG
		ZP4
		SH2B3
		CYP2W1
		STAP2
		TRIM44
		TRIM39
		TMEM105
		BICC1
		TRRAP
		HSH2D
		ADAP1
		LDLRAD3
		BANP
		NIPAL3
		ANTXRL
		C16orf46
		DDC
		TGFA
		NPR2
		PROM1
		KIF15
		SNORD115-7
		GDF5
		C1orf175
		LYPD5
		ASB18
		TBX20
		PADI2
		INMT
		FTSJ1
		HSF1
		DST
		UBXN1
		HOXA9
		TTLL3
		WSCD2
		C1orf70
		EIF4E3
		LOC400794
		CHRM2
		USP48
		RASL10A
		OLFML2B
		SSTR1
		C5orf20
		C1orf59
		C6orf218
		CTDSPL
		RUSC2
		SALL4
		KLHDC5
		MRPS2
		POLR3H
		CADM1
		INPP5D
		KLHL29
		RILP
		TMEM17
		ARHGEF1
		TSPAN9
		OPRM1
		ST6GALNAC6
		SYCP2
		CLYBL
		C6orf136
		CYP26B1
		NMI
		RPL23
		NKAPL
		CNKSR1
		RAB30
		YLPM1
		CCL21
		EYS
		PRKAR1B
		GBF1
		ITIH1
		HCCA2
		MSTN
		FAM189A1
		ZC3H11A
		NCRNA00114
		VCL
		TCF3
		IQCJ
		CCDC88C
		FAM125B
		TXNDC11
		SPATA5
		SMC5
		SLC13A5
		HLA-L
		PKM2
		TMEM220
		PPFIBP2
		PPP2R2D
		C11orf63
		EDARADD
		SEPT8
		PTAFR
		PORCN
		PCDHB3
		OR52R1
		FAM124B
		IFT81
		PDCD11
		CTBP2
		CRTC3
		KRTDAP
		MYH8
		CDH23
		MIR595
		CHRD
		CYTH3
		LRRFIP2
		PEX10
		MLEC
		TTN
		RGS6
		SLC26A5
		NAF1
		EFCAB2
		NCALD
		ZFYVE21
		AKAP13
		USHBP1
		OAF
		ACCN1
		SLITRK1
		SNAP47
		ALS2CL
		SLC45A3
		MEG3
		BTBD19
		DYRK1A
		SARDH
		ORC2L
		WISP3
		NEDD9
		RNASET2
		JAK3
		C6orf106
		CCDC146
		ETV5
		MYRIP
		AP1M2
		PITPNM3
		NRBP2
		SCNN1A
		IARS2
		UNC13C
		LOC100132111
		RGS10
		CAB39L
		CUL4A
		PDZK1
		CHERP
		FCN3
		CDC42BPB
		RIMS2
		C21orf84
		ZNF488
		CXCL6
		SLC34A2
		PKDCC
		RNMTL1
		NPTN
		MIR411
		SCAMP2
		RTKN
		ART3
		UPP1
		SLC6A9
		FOXP1
		CAPN10
		CCR5
		EPHB6
		FLJ22536
		C6orf25
		MYO1G
		SCN8A
		LOC100134259
		UNC93B1
		RGMA
		TMEM145
		SNORD87
		PAPLN
		MUC21
		RAB27A
		CDCP1
		PAX3
		LASS4
		CITED4
		HSD17B8
		CNP
		EDN2
		PSMD7
		LMX1B
		ST8SIA2
		HLA-DQB2
		TTC17
		C7orf34
		DLGAP2
		LPPR3
		PFN1
		IRF8
		MICALL2
		ARL15
		BCL3
		SOX11
		FAM65C
		SLC16A8
		HIVEP3
		CGN
		ITGB3
		SPATA13
		F2RL3
		LTC4S
		SEMA5A
		MIF4GD
		SMARCA2
		LRRC28
		CABLES1
		LOC729467
		TTPAL
		P4HB
		ADAMTS10
		ZNF282
		CST2
		PRDM15
		DUSP16
		NLGN4Y
		BCL11A
		NUMA1
		F11R
		CPXCR1
		CLUAP1
		FAM193B
		ELL2
		C9orf167
		SNORD12
		OR6K6
		LRRC16A
		LOC284798
		KIAA0947
		TRPC4AP
		SP5
		AGAP1
		MKL1
		LGALS8
		FREM1
		DDR1
		PTK6
		FKBP9
		C1orf94
		PMEPA1
		NPS
		FBXO18
		HOXD9
		ZNF385A
		GUCA1A
		C6orf47
		UBE3C
		TRIT1
		LRP2BP
		MYST2
		CTNNA2
		ZNFX1
		LOC100132215
		C5orf62
		CLEC4F
		PSME3
		NUP43
		RIMBP3C
		EPS15L1
		L1TD1
		PVT1
		BCAT1
		PARD3B
		CHN1
		SLC2A9
		FLJ39609
		DNER
		LARP4B
		ETV6
		HGSNAT
		SALL3
		PMM2
		KIAA0754
		ZNF398
		MIR453
		CYTSB
		GATAD2B
		LRCH3
		FMNL2
		HMGA1
		GEM
		ANXA4
		DCP1B
		PARD3
		ATIC
		APBB1IP
		ONECUT2
		NRG1
		FAM110B
		TESSP1
		LGR4
		DCAF12L1
		FAM81A
		SNAI2
		MYH7B
		MARVELD2
		KCNN4
		FAM123C
		LOC644145
		TAOK1
		UNC45A
		LOC285033
		CISH
		JPH3
		OGDHL
		GPR39
		SPINT2
		CLDN18
		FAM38A
		NCAPG
		CCDC71
		TADA2B
		DENND2D
		UTP11L
		LHX9
		FDPS
		CP
		DUSP9
		MIR1259
		FAM160A1
		CNPY1
		FXYD3
		NDUFS7
		SMARCAL1
		ANO6
		RFTN2
		NPAS3
		AMD1
		TRIB2
		TTC1
		AHSP
		USH1C
		SRF
		DNAH5
		GHSR
		ATP8B1
		LRRC3B
		RNF183
		MAL2
		SIN3B
		TXNDC6
		MARCH1
		FMN2
		SEMA3C
		C3orf21
		SLC10A3
		SCN5A
		SMYD1
		ECSCR
		EVX2
		CACNA1I
		TP63
		LOC642846
		DPY19L1
		VHL
		ZNF358
		EIF2C4
		RPS6KA3
		LOC285830
		PHF21A
		MIR507
		C21orf70
		NLRP14
		DNAJC13
		GALNTL5
		CNST
		ATPGD1
		USP3
		CCDC9
		ST18
		FAM55C
		ASB2
		N4BP3
		OTOP1
		LOC100093631
		SPOCD1
		RAB39
		SELO
		OSBPL5
		DHRS2
		EXOC6
		CTSC
rna_seq	128	CXCL3
		PWP2
		FSIP1
		ARPC4-TTLL3
		H3C1
		FAT1P1
		UCN2
		ANXA8
		MT1P3
		LCE1E
		KLK9
		RNA5SP364
		PAQR7
		RPSAP52
		NAP1L5
		MED21
		EIF3EP3
		HS3ST2
		RNA5SP68
		RNA5SP496
		MT2A
		GJB4
		APOC1
		LCE1F
		SOX7
		DBNDD2
		TMEM35B
		RAET1G
		H1-3
		SERPINB2
		FZD7
		LOC112268410
		RNA5SP151
		VEGFC
		EIF5A2
		IRX1
		EREG
		CLEC4O
		H2BC14
		ARRDC4
		TMEM265
		SPESP1
		RGS2
		CNTN3
		RPS2P7
		NUDT11
		H4C6
		H2BC6
		CST6
		SHISA9
		C1orf74
		CXCL1
		TUSC1
		C11orf91
		IGFL3
		NOG
		APOBEC3G
		RSC1A1
		FOXD1
		PEG10
		AHNAK2
		RFLNB
		TNFRSF10D
		H4C13
		NLRP10
		RNA5SP187
		CSTA
		IL1A
		HDGFL3
		ZNF518B
		RASSF10
		RNA5SP335
		ENO2
		NEFL
		RNA5SP515
		LCE1C
		RPL21P75
		MIA
		SNURF
		FGFBP1
		RNA5SP283
		FZD8
		TWIST2
		PNLIPRP3
		RNA5SP207
		TNFRSF6B
		COMMD3-BMI1
		MLLT11
		H4C1
		BASP1
		RNF141
		RNA5SP22
		CARD18
		NDUFC2-KCTD14
		TFCP2L1
		TRBV26OR9-2
		GJB3
		FBXO17
		KRT16P4
		H4C11
		ARSI
		HSPA13
		KRT27
		TPT1P5
		PLEK2
		LOC107987373
		ZNF229
		RNF26
		GSPT2
		RNA5SP295
		CALML3
		WNT7A
		GJB2
		RPL14P1
		RNA5SP402
		MRGPRX3
		INSYN2B
		MMP17
		KRTAP2-3
		DSG3
		CMBL
		SERPINE1
		RNA5SP180
		CCND2
		ZBED2
		TLL1
		HNRNPA1P33
		SPRR1B
