Names	total	elements
		NHEDC1
		XDH
		NMBR
		GLT1D1
		CYP11A1
		PFKP
		PRSSL1
		C9orf91
		STOX1
		SALL1
		SLC25A3
		IRAK1
		ZNF646
		ZAR1
		C19orf34
		TMEM195
		GALNT3
		NTRK1
		DLEU7
		STYK1
		CNGB1
		TOP1MT
		MYO9B
		FAM134B
		CRNKL1
		HS3ST3A1
		NOS2
		PRKCG
		ZBTB12
		KCNA6
		DTNBP1
		SLC2A5
		ATP5G2
		SLC26A1
		CDK14
		LOC93622
		CYTH1
		CHD9
		ADAM5P
		FGR
		EPN2
		ARID3C
		SEMA4D
		MREG
		THRAP3
		AGPAT1
		NOSTRIN
		MIR1246
		PDLIM2
		BANK1
		CAPS
		GRM2
		SLC12A8
		FER1L5
		KNDC1
		RICS
		IGSF3
		IPO9
		LONP1
		RRP7A
		ZFYVE1
		TMEM132E
		MED13L
		CXCL13
		KIAA1199
		SORL1
		NFIA
		LOC100133469
		CTAGE5
		TMEM184A
		SYN3
		UBA1
		MIR451
		PCDH21
		C20orf27
		RPS6KA5
		ATXN10
		TP53AIP1
		MAPKAPK2
		LHFPL2
		RNF216L
		LHB
		ACTR8
		STK25
		TAOK3
		CYP2F1
		ITGA3
		RABGGTA
		BRCA1
		SLC12A4
		UNC45B
		LOC400696
		CDC25B
		LPAR4
		TMEM180
		RUNX3
		LUZP1
		PRKCB
		EIF4G3
		C5AR1
		PHLDB3
		BAZ1B
		BBS12
		C11orf2
		LRGUK
		ELANE
		KIAA1609
		FOXK2
		CPNE4
		SLC8A1
		DGUOK
		FGGY
		ISL1
		C1QTNF3
		NUDT1
		RFPL2
		PRDM2
		PDCD4
		LOC100128788
		SRRM4
		FAM73A
		SMYD3
		CST7
		WHSC1
		KIAA0020
		NEIL1
		ANKRD6
		C16orf45
		DNAH17
		PPIL1
		GPR55
		DNAJC15
		EXOC3
		ABR
		FOXE1
		NCOR2
		SIAH3
		TNFRSF9
		DLX6AS
		RMND5B
		CCNY
		SSU72
		ROR2
		ISM1
		TM4SF4
		BUD31
		CORO2A
		TNNT3
		HDGF2
		FBXO31
		FRS2
		C6orf15
		ING5
		LOC152225
		HDAC7
		GRB2
		FAM19A4
		C3orf66
		C5orf13
		CETN3
		CDK1
		CCDC43
		ZNF232
		MIR128-2
		SLC6A7
		TRAPPC9
		SHBG
		DSCR6
		P2RX3
		LYZL4
		SLC16A5
		OR7E37P
		TUBB
		RARRES3
		PLXNA1
		TOR3A
		FNDC1
		ENTPD8
		KLHL30
		SERPINE3
		VAX2
		SETDB1
		CPEB3
		INTS1
		ARL13B
		TJAP1
		CAMTA1
		MIR654
		DRD3
		PTP4A2
		SNX19
		WDFY2
		DUSP5
		NAALADL1
		EMILIN1
		TAF12
		THADA
		PIK3CB
		COL18A1
		GKN1
		LOC286238
		OR4N5
		CDCA4
		ADAM32
		ERBB2IP
		EMX2
		CD6
		ZSCAN4
		COG1
		CRHBP
		PTRF
		CHST11
		THRB
		MMP15
		MYBPC1
		RNF39
		DNAH11
		MTMR14
		CELA1
		EN1
		SLC9A9
		C6orf176
		CNOT1
		CEP120
		ADAM23
		P704P
		B3GALT5
		TFR2
		EXOC2
		FLJ42709
		BAT5
		C19orf55
		HLA-J
		SGK269
		TLCD2
		CAPN1
		SNX25
		RHBDF1
		PCDH18
		CDK17
		TTLL4
		ZNF687
		MYO5C
		SARS
		TDRG1
		LAMB4
		PI4KAP1
		AHCYL2
		KDM4B
		GNG12
		TMEM125
		FGF1
		CHRM1
		IL6R
		CHRNB2
		COL7A1
		LRRC48
		SPG20
		CAPN12
		COX10
		HIST1H2BJ
		TFAP2B
		MIR153-2
		CIITA
		EPHA4
		TMEM11
		ARAP1
		KCNQ5
		C3orf32
		PLCXD2
		NEU1
		C2orf34
		EPGN
		TPBG
		TSN
		C6orf105
		GSTP1
		GMFB
		ARHGAP15
		GNB4
		SLC9A3
		NBPF3
		ALDH1L2
		PCSK6
		LILRA6
		REM2
		MIR637
		DNHD1
		MIR122
		LONRF2
		GIPR
		HCFC1
		NFYA
		NADSYN1
		RGS14
		SCN11A
		TENC1
		GFI1
		C21orf34
		RTN4RL1
		IL17C
		ETV2
		HK3
		LPIN3
		RSU1
		EIF4A3
		ATP10A
		SPATA19
		IRX3
		ELFN1
		ARID5A
		SORBS2
		NFE2L2
		GLYATL2
		IGSF8
		TMCO7
		SH3PXD2A
		SPINK5
		MUC15
		SH2D2A
		PRDM12
		OPA3
		SCHIP1
		KRCC1
		TRAF7
		C6orf27
		CLCA1
		PARG
		HUS1
		DYRK4
		HAPLN4
		FXYD2
		TFEC
		NCRNA00189
		GPBP1L1
		PPM1H
		CCT4
		ZNF709
		KCNK10
		MIR199A2
		C20orf173
		AHRR
		UPP2
		BRD4
		MIR379
		POLRMT
		DOK4
		DKFZp566F0947
		SLC46A2
		KIF25
		TTC13
		PRSS22
		SOX9
		UBTD1
		PCDHGB4
		KIAA0664
		TNRC18
		KIAA1908
		PITX1
		PDGFRB
		FHDC1
		DTNB
		LDLRAD2
		VRK2
		CELSR3
		LCN15
		FBXO46
		CHRNB1
		SVIL
		ADCY3
		EHBP1L1
		FETUB
		CAMK2B
		UCKL1AS
		DCTN1
		MT1DP
		ERMAP
		GRIP1
		APBA2
		MUC2
		GRHL1
		TCF21
		ZSCAN12L1
		DLST
		R3HDM2
		NECAB2
		RGS20
		CPVL
		PAWR
		LXN
		ESPNL
		RELL1
		KLHL21
		SCRN1
		C2orf61
		LOC407835
